GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
816200PP;Steinmaur, Politische Gemeinde;Steuerertrag [Fr./Einw.];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
816200P;Steinmaur, Politische Gemeinde (bis 2019);Steuerertrag [Fr./Einw.];1016;1017;1022;1003;978;1017;1000;1102;1177;1067;1058;1172;1069;962;937;947;868;1004;983;862;859;704;683;598;603;529;558;459;485;502
847800PP;Thalheim a.d.Thur, Politische Gemeinde;Steuerertrag [Fr./Einw.];2149;2231;2183;2266;2001;1760;2140;1703;1921;2048;1754;1580;1657;1466;;;;;;;;;;;;;;;;
880000PS;Thalwil, Politische Gemeinde;Steuerertrag [Fr./Einw.];4514;4324;4257;3966;3520;3634;4004;3830;4113;3644;3956;3818;3359;2902;2976;2743;2966;2815;2605;3075;2722;2332;2561;2432;2570;2346;2451;2301;2188;2146
846600P;Trüllikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];968;960;908;867;833;811;729;718;946;898;885;843;765;767;750;763;737;739;745;673;606;489;559;607;583;526;520;436;465;558
846700P;Truttikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1021;826;949;822;660;633;587;378;801;680;669;684;674;646;661;609;576;504;498;424;382;336;425;424;455;452;293;313;359;520
848800P;Turbenthal, Politische Gemeinde;Steuerertrag [Fr./Einw.];834;790;875;786;814;732;754;788;808;917;1058;754;831;790;760;591;321;423;426;337;273;203;273;151;266;411;403;459;542;532
870700PS;Uetikon am See, Politische Gemeinde;Steuerertrag [Fr./Einw.];4802;4568;4638;4491;4777;4679;4638;4579;4677;4969;4192;4051;3659;3475;3557;3720;3056;;;;;;;;;;;;;
814200P;Uitikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];3027;3455;3241;3076;3253;3575;4253;3990;5017;5979;5866;5608;5656;4783;3954;3774;4551;5258;5067;5032;4515;4044;4323;4438;4471;4869;4030;3218;3472;2944
810300PP;Unterengstringen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3177;3268;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890200P;Urdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];1694;1757;2032;1802;1864;1794;1895;2073;1973;1968;1869;1920;1638;1468;1592;1467;1529;1845;1685;1621;1571;1393;1281;1227;1290;1106;993;779;854;811
861000PP;Uster, Stadt;Steuerertrag [Fr./Einw.];2670;2554;2603;2586;2503;2520;2646;2501;2789;2496;2602;2600;2346;2371;2256;2168;2209;2363;2064;2100;2056;1744;1791;1859;1912;1881;1781;1593;1460;1402
845900P;Volken, Politische Gemeinde;Steuerertrag [Fr./Einw.];1122;1465;1323;1412;1071;936;703;827;911;936;747;774;976;775;772;654;744;800;693;548;765;576;866;727;587;565;517;425;416;501
860400P;Volketswil, Politische Gemeinde;Steuerertrag [Fr./Einw.];1208;1122;1107;1117;945;970;912;964;959;1061;969;969;945;969;892;954;968;1128;1045;1100;1089;849;841;926;997;945;959;724;674;563
882001PP;Wädenswil, Stadt;Steuerertrag [Fr./Einw.];2927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863600PS;Wald, Politische Gemeinde;Steuerertrag [Fr./Einw.];2236;2267;2192;2070;2093;2014;2050;2040;2115;;;;;;;;;;;;;;;;;;;;;
830400P;Wallisellen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2382;2895;2805;2963;2848;3199;2391;2232;2449;1846;2663;2578;2412;2184;1925;2300;2340;3193;3079;3145;2679;2022;1965;1814;1796;1688;1768;1641;2156;2152
830600PS;Wangen-Brüttisellen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3629;3668;3704;3135;3237;3423;3552;3243;3523;2935;2978;3277;3267;;;;;;;;;;;;;;;;;
819500P;Wasterkingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1032;922;915;844;772;840;777;695;928;908;840;804;762;764;793;748;636;800;650;548;584;481;467;492;536;593;655;514;503;508
818700P;Weiach, Politische Gemeinde;Steuerertrag [Fr./Einw.];475;313;501;674;648;829;815;817;825;656;592;487;520;439;512;492;433;423;455;319;299;253;336;353;327;437;433;488;466;491
810400PP;Weiningen, Politische Gemeinde;Steuerertrag [Fr./Einw.];2713;2430;2385;2174;2060;2277;2346;2420;2533;2423;2381;2283;2088;;;;;;;;;;;;;;;;;
848400PS;Weisslingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3039;2983;2861;2756;2854;2741;2886;2755;3106;2888;2994;2718;2749;;;;;;;;;;;;;;;;;
890700P;Wettswil a.A., Politische Gemeinde;Steuerertrag [Fr./Einw.];1323;1309;1355;1275;1190;1142;1185;1338;1310;1407;1329;1248;1252;1089;1150;943;999;969;1018;938;972;859;821;897;913;784;678;591;536;573
862000PS;Wetzikon, Stadt;Steuerertrag [Fr./Einw.];2641;2181;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854201P;Wiesendangen, Politische Gemeinde;Steuerertrag [Fr./Einw.];713;705;713;719;688;662;;;;;;;;;;;;;;;;;;;;;;;;
819600P;Wil , Politische Gemeinde;Steuerertrag [Fr./Einw.];1237;1202;1310;1178;1058;1048;1235;1150;1073;974;973;1090;1113;1013;883;919;1058;995;935;863;826;643;780;868;888;809;567;654;874;934
849200P;Wila, Politische Gemeinde;Steuerertrag [Fr./Einw.];1281;1220;1057;967;1008;1190;712;627;1254;1190;1170;970;1001;773;756;659;707;824;687;628;665;570;492;470;494;445;451;435;495;444
848900PP;Wildberg, Politische Gemeinde;Steuerertrag [Fr./Einw.];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848900P;Wildberg, Politische Gemeinde (bis 2020);Steuerertrag [Fr./Einw.];689;883;1161;875;795;805;823;925;1068;1144;1192;806;815;768;916;752;859;768;806;737;675;549;567;586;662;652;624;600;571;578
818500P;Winkel, Politische Gemeinde;Steuerertrag [Fr./Einw.];1460;1284;1368;1381;1215;1124;1047;1160;1097;997;1028;947;906;882;842;799;884;922;855;858;796;709;663;641;728;718;664;731;587;583
840000PS;Winterthur, Stadt;Steuerertrag [Fr./Einw.];3419;3433;3417;3542;3402;3440;3410;3479;3454;3313;3207;3105;2938;2735;2939;2689;2814;2634;2956;2922;2771;2650;2476;2473;2489;2380;2219;2061;1875;2002
848702PS;Zell, Politische Gemeinde;Steuerertrag [Fr./Einw.];2183;2206;2260;2086;2051;2022;2063;2178;2277;2159;2035;1893;1784;1666;1730;1738;1745;;;;;;;;;;;;;
870200PS;Zollikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];9744;8566;8605;8268;8395;8089;7893;7895;7695;7353;8414;9077;7759;6114;6059;5670;6418;6968;6653;7226;6545;6155;5428;5490;5621;5683;5869;5920;5505;5218
812600PS;Zumikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];10053;10145;10115;9685;9965;;;;;;;;;;;;;;;;;;;;;;;;;
800000PS;Zürich, Stadt;Steuerertrag [Fr./Einw.];6363;6508;6113;6704;6067;5915;5812;5839;5951;5888;5938;5463;6271;5845;5321;5375;5736;6403;5978;5517;5032;4368;4093;4300;4269;4500;4060;3771;3380;3602
