GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
895300PS;Dietikon, Stadt;Steuerertrag [Fr./Einw.];2862;2904;2992;2851;2837;2814;2564;2797;2945;3099;3041;2927;2714;2649;2405;2916;2634;2919;2404;2468;2889;2355;2450;2467;2596;2302;2336;2167;2042;1995
830500P;Dietlikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1124;1434;1606;1446;1372;1498;1716;1603;1465;1463;1455;1501;1523;;;;;;;1662;1492;1354;1559;1722;1909;1866;1924;1592;1483;1436
847400PP;Dinhard, Politische Gemeinde;Steuerertrag [Fr./Einw.];1935;1731;1598;1745;1741;1626;1570;1769;2121;2000;2294;2156;2065;1825;;;;;;;;;;;;;;;;
845800P;Dorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];1097;950;1040;1022;1107;717;1039;1126;1050;1021;1103;1130;901;803;1055;932;885;1124;877;846;873;682;676;722;672;623;660;612;588;641
860000PP;Dübendorf, Stadt;Steuerertrag [Fr./Einw.];2603;2749;3204;2810;3167;2724;2666;2741;2948;3045;2693;3035;2659;2483;2385;2643;2706;3143;2635;2864;2385;2239;2167;2428;2498;1904;1807;1948;1837;1808
863500PS;Dürnten, Politische Gemeinde;Steuerertrag [Fr./Einw.];2365;2398;2281;2287;2236;2100;2298;2223;2216;2288;2272;2109;2017;1887;1986;1950;2201;2384;;;;;;;;;;;;
813200PS;Egg, Politische Gemeinde;Steuerertrag [Fr./Einw.];3399;3363;3567;3491;;;;;;;;;;;;;;;;;;;;;;;;;;
819300P;Eglisau, Politische Gemeinde;Steuerertrag [Fr./Einw.];969;951;1049;1054;1023;991;1032;1036;1215;1139;1181;1157;1001;1004;993;911;861;1024;1028;964;1095;844;838;906;1009;919;836;736;712;665
835301P;Elgg, Politische Gemeinde;Steuerertrag [Fr./Einw.];1294;1277;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854800P;Ellikon a.d.Th., Politische Gemeinde;Steuerertrag [Fr./Einw.];1073;1066;929;992;1006;1106;1314;1108;1256;1009;924;1131;947;898;835;794;889;784;576;802;577;563;506;535;503;442;479;439;415;455
835200P;Elsau, Politische Gemeinde;Steuerertrag [Fr./Einw.];1157;1106;1251;1236;1173;1460;1151;1168;1124;1132;1135;1015;896;888;859;787;817;853;829;806;797;651;695;739;724;724;694;674;597;611
842400PP;Embrach, Politische Gemeinde;Steuerertrag [Fr./Einw.];2339;2107;2131;2026;2137;2331;2036;2161;2383;2659;2495;2296;2115;2273;1910;1961;2732;1982;1994;1805;1829;1537;1636;1589;1810;1502;1502;1373;1115;1160
870300PS;Erlenbach, Politische Gemeinde;Steuerertrag [Fr./Einw.];8956;9688;8561;7999;8403;8813;9095;9122;8665;9124;10159;8352;6597;5122;4765;5465;5891;5746;6858;6440;5971;4844;4249;4542;4602;4640;4197;4387;3715;3828
811700P;Fällanden, Politische Gemeinde;Steuerertrag [Fr./Einw.];1427;1349;1391;1421;1527;1434;1423;1352;1503;1397;1567;1304;1327;1419;1145;1266;1137;1355;1140;1220;1087;856;847;1031;923;1046;853;877;893;721
832000PS;Fehraltorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];3538;3948;3292;3488;3544;3161;3179;3183;3414;3148;3149;3378;3029;;;;;;;;;;;;;;;;;
824500PS;Feuerthalen, Politische Gemeinde;Steuerertrag [Fr./Einw.];3040;3014;2614;2684;;;;;;;;;;;;;;;;;;;;;;;;;;
849700PS;Fischenthal, Politische Gemeinde;Steuerertrag [Fr./Einw.];2115;2140;1975;1833;1697;1685;;;;;;;;;;;;;;;;;;;;;;;;
841600P;Flaach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1016;883;939;981;932;880;1091;996;1054;1101;998;957;872;851;955;813;780;783;919;781;1055;804;755;751;739;828;789;837;850;834
824700P;Flurlingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1493;1418;1534;1341;1393;1322;1543;1611;1593;1432;1500;1299;1345;1161;1285;1189;1172;1367;1498;1401;1301;1170;1243;1334;1333;1306;1166;1085;1111;980
842701P;Freienstein-Teufen, Politische Gemeinde;Steuerertrag [Fr./Einw.];902;807;760;758;814;738;806;820;1115;991;1051;1077;930;961;850;727;705;817;846;689;707;559;556;518;536;490;536;471;466;547
895400P;Geroldswil, Politische Gemeinde;Steuerertrag [Fr./Einw.];1604;1408;1527;1544;1464;1503;1468;1637;1743;1589;1743;1514;1555;1520;1444;1167;1117;1114;1124;1337;1160;883;832;810;761;714;678;602;612;551
819200PS;Glattfelden, Politische Gemeinde;Steuerertrag [Fr./Einw.];2694;2711;2426;2418;2366;;;;;;;;;;;;;;;;;;;;;;;;;
862500PS;Gossau, Politische Gemeinde;Steuerertrag [Fr./Einw.];3052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860600PP;Greifensee, Politische Gemeinde;Steuerertrag [Fr./Einw.];2943;2911;3092;2467;2876;3043;2964;2338;3255;;;;;;;;;;;;;;;;;;;;;
