BFS_2017,Gemeinde_2017,GSB17_Teilnahme,FDP,CVP,CSP,SVP,SP,BDP,EVP,EDU,GLP,Grüne,Lega,parteilos,verschiedene,m,w
96,Regensdorf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Rümlang,1,0,0,0,3,3,0,1,0,0,0,0,0,0,3,4
98,Schleinikon,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2
99,Schöfflisdorf,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
100,Stadel,1,0,0,0,4,0,0,0,0,0,0,0,4,0,5,3
101,Steinmaur,1,2,0,0,1,0,0,0,0,0,1,0,1,0,3,2
102,Weiach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Bäretswil,1,1,0,0,3,0,0,1,0,0,0,0,2,0,4,3
112,Bubikon,1,3,1,0,1,0,0,0,0,0,0,0,0,2,5,2
113,Dürnten,1,4,1,0,1,0,0,0,0,0,0,0,1,1,7,1
114,Fischenthal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Gossau (ZH),1,1,0,0,2,0,0,1,0,0,0,0,2,1,5,2
116,Grüningen,1,2,0,0,3,0,0,0,0,0,0,0,2,0,4,3
117,Hinwil,1,3,0,0,4,1,0,0,0,0,0,0,0,0,7,1
118,Rüti (ZH),1,3,2,0,0,2,0,1,0,1,0,0,0,0,5,4
119,Seegräben,1,4,0,0,1,0,0,0,0,0,0,0,3,0,8,0
120,Wald (ZH),1,1,0,0,4,0,0,0,0,1,0,0,2,0,8,0
121,Wetzikon (ZH),1,1,1,0,2,1,0,2,0,1,0,0,0,0,6,2
131,Adliswil,1,3,2,0,2,0,0,0,0,0,0,0,1,0,7,1
132,Hirzel,1,0,0,0,0,0,0,0,0,0,0,0,7,0,5,2
133,Horgen,1,4,1,0,3,1,0,0,0,0,0,0,1,0,6,4
134,Hütten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Kilchberg (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Langnau am Albis,1,2,1,0,1,1,0,0,0,1,0,0,1,0,7,0
137,Oberrieden,1,1,0,0,2,1,0,0,0,0,0,0,3,0,4,3
138,Richterswil,1,4,1,0,1,2,0,0,0,0,0,0,2,0,8,2
139,Rüschlikon,1,3,1,0,0,0,0,0,0,0,0,0,3,0,4,3
140,Schönenberg (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Thalwil,1,3,2,0,0,2,0,0,0,0,0,0,1,1,7,2
142,Wädenswil,1,2,1,0,1,1,0,1,0,0,0,0,0,1,6,1
151,Erlenbach (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Herrliberg,1,3,0,0,2,0,0,0,0,0,0,0,0,2,6,1
153,Hombrechtikon,1,4,0,0,4,0,0,0,0,0,0,0,1,0,6,3
154,Küsnacht (ZH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Männedorf,1,4,2,0,1,0,0,0,0,2,0,0,0,0,7,2
156,Meilen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Oetwil am See,1,0,0,0,4,0,0,0,0,0,0,0,2,0,6,0
158,Stäfa,1,4,1,0,0,2,0,0,0,2,0,0,0,0,5,4
159,Uetikon am See,1,3,0,0,2,0,0,0,0,0,0,0,3,0,6,2
160,Zumikon,1,4,1,0,1,0,0,0,0,1,0,0,0,0,6,1
161,Zollikon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Fehraltorf,1,1,0,0,2,0,0,0,0,0,0,0,1,3,6,1
173,Hittnau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Lindau,1,2,0,0,3,2,0,0,0,0,0,0,0,0,5,2
