"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Embrach","56","6","CVP","17","Wahlkreis XVII, Bülach","1834","7.66","1.98","40","102","7.66","1.98","5.68","5.68"
"Embrach","56","7","EVP","17","Wahlkreis XVII, Bülach","771","3.22","0.49","4","43","3.22","0.49","2.73","2.73"
"Embrach","56","8","AL","17","Wahlkreis XVII, Bülach","456","1.9","1.27","0","25","1.9","1.27","0.63","0.63"
"Embrach","56","9","BDP","17","Wahlkreis XVII, Bülach","569","2.37","-1.02","0","32","2.37","-1.02","3.4","3.4"
"Embrach","56","10","EDU","17","Wahlkreis XVII, Bülach","1013","4.23","-1.94","4","56","4.23","-1.94","6.16","6.16"
"Erlenbach","151","1","SVP","10","Wahlkreis X, Meilen","4074","24.69","-3.37","59","340","24.69","-3.37","28.06","28.06"
"Erlenbach","151","2","SP","10","Wahlkreis X, Meilen","1580","9.58","-1.2","14","132","9.58","-1.2","10.78","10.78"
"Erlenbach","151","3","FDP","10","Wahlkreis X, Meilen","5503","33.35","-5.14","78","459","33.35","-5.14","38.49","38.49"
"Erlenbach","151","4","GLP","10","Wahlkreis X, Meilen","2073","12.56","6.6","15","173","12.56","6.6","5.96","5.96"
"Erlenbach","151","5","Grüne","10","Wahlkreis X, Meilen","1850","11.21","4.4","22","154","11.21","4.4","6.81","6.81"
"Erlenbach","151","6","CVP","10","Wahlkreis X, Meilen","813","4.93","-1.09","9","68","4.93","-1.09","6.02","6.02"
"Erlenbach","151","7","EVP","10","Wahlkreis X, Meilen","189","1.15","0.18","1","16","1.15","0.18","0.97","0.97"
"Erlenbach","151","8","AL","10","Wahlkreis X, Meilen","167","1.01","-0.06","2","14","1.01","-0.06","1.07","1.07"
"Erlenbach","151","9","BDP","10","Wahlkreis X, Meilen","101","0.61","-0.4","0","8","0.61","-0.4","1.01","1.01"
"Erlenbach","151","10","EDU","10","Wahlkreis X, Meilen","150","0.91","0.08","3","13","0.91","0.08","0.83","0.83"
"Fehraltorf","172","1","SVP","13","Wahlkreis XIII, Pfäffikon","2577","29.93","-6.74","17","368","29.93","-6.74","36.67","36.67"
"Fehraltorf","172","2","SP","13","Wahlkreis XIII, Pfäffikon","1002","11.64","-3.41","0","143","11.64","-3.41","15.05","15.05"
"Fehraltorf","172","3","FDP","13","Wahlkreis XIII, Pfäffikon","1471","17.08","-0.14","14","210","17.08","-0.14","17.23","17.23"
"Fehraltorf","172","4","GLP","13","Wahlkreis XIII, Pfäffikon","1397","16.23","7.19","8","200","16.23","7.19","9.04","9.04"
"Fehraltorf","172","5","Grüne","13","Wahlkreis XIII, Pfäffikon","856","9.94","4.49","4","122","9.94","4.49","5.45","5.45"
"Fehraltorf","172","6","CVP","13","Wahlkreis XIII, Pfäffikon","208","2.42","-0.58","1","30","2.42","-0.58","3","3"
"Fehraltorf","172","7","EVP","13","Wahlkreis XIII, Pfäffikon","513","5.96","0.99","7","73","5.96","0.99","4.97","4.97"
"Fehraltorf","172","8","AL","13","Wahlkreis XIII, Pfäffikon","62","0.72","0.11","2","9","0.72","0.11","0.61","0.61"
"Fehraltorf","172","9","BDP","13","Wahlkreis XIII, Pfäffikon","233","2.71","-1.88","6","33","2.71","-1.88","4.58","4.58"
"Fehraltorf","172","10","EDU","13","Wahlkreis XIII, Pfäffikon","291","3.38","0.38","0","42","3.38","0.38","3","3"
"Feuerthalen","27","1","SVP","16","Wahlkreis XVI, Andelfingen","868","33.08","-1.91","10","217","33.08","-1.91","34.98","34.98"
"Feuerthalen","27","2","SP","16","Wahlkreis XVI, Andelfingen","866","33","-1.23","7","217","33","-1.23","34.23","34.23"
"Feuerthalen","27","3","FDP","16","Wahlkreis XVI, Andelfingen","231","8.8","-0.47","5","58","8.8","-0.47","9.27","9.27"
"Feuerthalen","27","4","GLP","16","Wahlkreis XVI, Andelfingen","144","5.49","1.85","0","36","5.49","1.85","3.64","3.64"
"Feuerthalen","27","5","Grüne","16","Wahlkreis XVI, Andelfingen","174","6.63","0.7","2","44","6.63","0.7","5.93","5.93"
"Feuerthalen","27","6","CVP","16","Wahlkreis XVI, Andelfingen","75","2.86","0.53","2","19","2.86","0.53","2.33","2.33"
"Feuerthalen","27","7","EVP","16","Wahlkreis XVI, Andelfingen","59","2.25","1.16","0","15","2.25","1.16","1.09","1.09"
"Feuerthalen","27","8","AL","16","Wahlkreis XVI, Andelfingen","86","3.28","2.45","0","22","3.28","2.45","0.83","0.83"
"Feuerthalen","27","9","BDP","16","Wahlkreis XVI, Andelfingen","89","3.39","-1.56","3","22","3.39","-1.56","4.95","4.95"
"Feuerthalen","27","10","EDU","16","Wahlkreis XVI, Andelfingen","32","1.22","-1.52","0","8","1.22","-1.52","2.74","2.74"
"Fischenthal","114","1","SVP","11","Wahlkreis XI, Hinwil","3175","52.38","-2.46","71","289","52.38","-2.46","54.84","54.84"
"Fischenthal","114","2","SP","11","Wahlkreis XI, Hinwil","683","11.27","-0.99","0","62","11.27","-0.99","12.26","12.26"
"Fischenthal","114","3","FDP","11","Wahlkreis XI, Hinwil","419","6.91","0.64","16","38","6.91","0.64","6.28","6.28"
"Fischenthal","114","4","GLP","11","Wahlkreis XI, Hinwil","356","5.87","1.42","9","32","5.87","1.42","4.45","4.45"
"Fischenthal","114","5","Grüne","11","Wahlkreis XI, Hinwil","492","8.12","3.4","1","45","8.12","3.4","4.72","4.72"
"Fischenthal","114","6","CVP","11","Wahlkreis XI, Hinwil","144","2.38","0.4","0","13","2.38","0.4","1.98","1.98"
"Fischenthal","114","7","EVP","11","Wahlkreis XI, Hinwil","176","2.9","0.41","2","16","2.9","0.41","2.49","2.49"
"Fischenthal","114","8","AL","11","Wahlkreis XI, Hinwil","134","2.21","-0.37","0","12","2.21","-0.37","2.58","2.58"
"Fischenthal","114","9","BDP","11","Wahlkreis XI, Hinwil","85","1.4","-1.71","0","8","1.4","-1.71","3.11","3.11"
"Fischenthal","114","10","EDU","11","Wahlkreis XI, Hinwil","397","6.55","-0.75","26","36","6.55","-0.75","7.3","7.3"
"Flaach","28","1","SVP","16","Wahlkreis XVI, Andelfingen","661","41.62","-7.01","2","165","41.62","-7.01","48.63","48.63"
"Flaach","28","2","SP","16","Wahlkreis XVI, Andelfingen","110","6.93","-0.52","0","28","6.93","-0.52","7.45","7.45"
"Flaach","28","3","FDP","16","Wahlkreis XVI, Andelfingen","367","23.11","0.91","7","92","23.11","0.91","22.2","22.2"
"Flaach","28","4","GLP","16","Wahlkreis XVI, Andelfingen","101","6.36","2.67","3","25","6.36","2.67","3.69","3.69"
"Flaach","28","5","Grüne","16","Wahlkreis XVI, Andelfingen","87","5.48","1.72","1","22","5.48","1.72","3.76","3.76"
"Flaach","28","6","CVP","16","Wahlkreis XVI, Andelfingen","0","0","-0.14","0","0","0","-0.14","0.14","0.14"
"Flaach","28","7","EVP","16","Wahlkreis XVI, Andelfingen","118","7.43","2.51","0","30","7.43","2.51","4.92","4.92"
"Flaach","28","8","AL","16","Wahlkreis XVI, Andelfingen","7","0.44","-0.24","0","2","0.44","-0.24","0.68","0.68"
"Flaach","28","9","BDP","16","Wahlkreis XVI, Andelfingen","58","3.65","0.72","9","15","3.65","0.72","2.94","2.94"
"Flaach","28","10","EDU","16","Wahlkreis XVI, Andelfingen","79","4.97","-0.63","0","20","4.97","-0.63","5.6","5.6"
"Flurlingen","29","1","SVP","16","Wahlkreis XVI, Andelfingen","374","26.04","-1.63","0","94","26.04","-1.63","27.68","27.68"
"Flurlingen","29","2","SP","16","Wahlkreis XVI, Andelfingen","317","22.08","-2.11","2","79","22.08","-2.11","24.18","24.18"
"Flurlingen","29","3","FDP","16","Wahlkreis XVI, Andelfingen","220","15.32","-4.4","1","55","15.32","-4.4","19.72","19.72"
"Flurlingen","29","4","GLP","16","Wahlkreis XVI, Andelfingen","136","9.47","3.89","1","34","9.47","3.89","5.58","5.58"
"Flurlingen","29","5","Grüne","16","Wahlkreis XVI, Andelfingen","222","15.46","2.89","0","56","15.46","2.89","12.57","12.57"
"Flurlingen","29","6","CVP","16","Wahlkreis XVI, Andelfingen","46","3.2","1.72","0","12","3.2","1.72","1.49","1.49"
"Flurlingen","29","7","EVP","16","Wahlkreis XVI, Andelfingen","38","2.65","1.46","0","10","2.65","1.46","1.19","1.19"
"Flurlingen","29","8","AL","16","Wahlkreis XVI, Andelfingen","29","2.02","0.16","0","7","2.02","0.16","1.86","1.86"
"Flurlingen","29","9","BDP","16","Wahlkreis XVI, Andelfingen","36","2.51","-2.48","2","9","2.51","-2.48","4.99","4.99"
"Flurlingen","29","10","EDU","16","Wahlkreis XVI, Andelfingen","18","1.25","0.51","0","5","1.25","0.51","0.74","0.74"
"Freienstein-Teufen","57","1","SVP","17","Wahlkreis XVII, Bülach","3789","34.28","-1.61","84","211","34.28","-1.61","35.89","35.89"
"Freienstein-Teufen","57","2","SP","17","Wahlkreis XVII, Bülach","1387","12.55","-2.96","23","77","12.55","-2.96","15.51","15.51"
"Freienstein-Teufen","57","3","FDP","17","Wahlkreis XVII, Bülach","989","8.95","-2.44","26","55","8.95","-2.44","11.39","11.39"
"Freienstein-Teufen","57","4","GLP","17","Wahlkreis XVII, Bülach","1356","12.27","6.1","40","75","12.27","6.1","6.17","6.17"
"Freienstein-Teufen","57","5","Grüne","17","Wahlkreis XVII, Bülach","1018","9.21","-0.38","1","57","9.21","-0.38","9.59","9.59"
"Freienstein-Teufen","57","6","CVP","17","Wahlkreis XVII, Bülach","186","1.68","-0.77","0","10","1.68","-0.77","2.45","2.45"
"Freienstein-Teufen","57","7","EVP","17","Wahlkreis XVII, Bülach","1288","11.65","1.15","3","72","11.65","1.15","10.5","10.5"
"Freienstein-Teufen","57","8","AL","17","Wahlkreis XVII, Bülach","280","2.53","1.52","10","16","2.53","1.52","1.01","1.01"
"Freienstein-Teufen","57","9","BDP","17","Wahlkreis XVII, Bülach","367","3.32","0.26","1","20","3.32","0.26","3.07","3.07"
"Freienstein-Teufen","57","10","EDU","17","Wahlkreis XVII, Bülach","392","3.55","-0.6","1","22","3.55","-0.6","4.15","4.15"
"Fällanden","193","1","SVP","12","Wahlkreis XII, Uster","5491","23.27","-4.84","58","343","23.27","-4.84","28.1","28.1"
"Fällanden","193","2","SP","12","Wahlkreis XII, Uster","4174","17.69","-1.84","57","261","17.69","-1.84","19.53","19.53"
"Fällanden","193","3","FDP","12","Wahlkreis XII, Uster","4957","21","-0.88","66","310","21","-0.88","21.88","21.88"
"Fällanden","193","4","GLP","12","Wahlkreis XII, Uster","3745","15.87","5","45","234","15.87","5","10.87","10.87"
"Fällanden","193","5","Grüne","12","Wahlkreis XII, Uster","2455","10.4","5.77","16","153","10.4","5.77","4.63","4.63"
"Fällanden","193","6","CVP","12","Wahlkreis XII, Uster","987","4.18","-1.47","34","62","4.18","-1.47","5.65","5.65"
"Fällanden","193","7","EVP","12","Wahlkreis XII, Uster","419","1.78","0.14","0","26","1.78","0.14","1.63","1.63"
"Fällanden","193","8","AL","12","Wahlkreis XII, Uster","480","2.03","0.94","1","30","2.03","0.94","1.1","1.1"
"Fällanden","193","9","BDP","12","Wahlkreis XII, Uster","471","2","-1.55","10","29","2","-1.55","3.54","3.54"
"Fällanden","193","10","EDU","12","Wahlkreis XII, Uster","421","1.78","0.01","17","26","1.78","0.01","1.77","1.77"
"Geroldswil","244","1","SVP","7","Wahlkreis VII, Dietikon","2684","32.62","-7.82","38","244","32.62","-7.82","40.44","40.44"
"Geroldswil","244","2","SP","7","Wahlkreis VII, Dietikon","1080","13.13","0.11","16","98","13.13","0.11","13.01","13.01"
"Geroldswil","244","3","FDP","7","Wahlkreis VII, Dietikon","1803","21.91","-3.09","11","164","21.91","-3.09","25","25"
"Geroldswil","244","4","GLP","7","Wahlkreis VII, Dietikon","1064","12.93","5.82","13","97","12.93","5.82","7.11","7.11"
"Geroldswil","244","5","Grüne","7","Wahlkreis VII, Dietikon","287","3.49","1.56","6","26","3.49","1.56","1.93","1.93"
"Geroldswil","244","6","CVP","7","Wahlkreis VII, Dietikon","750","9.12","2.86","3","68","9.12","2.86","6.25","6.25"
"Geroldswil","244","7","EVP","7","Wahlkreis VII, Dietikon","170","2.07","0.17","0","15","2.07","0.17","1.89","1.89"
"Geroldswil","244","8","AL","7","Wahlkreis VII, Dietikon","87","1.06","0.13","0","8","1.06","0.13","0.92","0.92"
"Geroldswil","244","9","BDP","7","Wahlkreis VII, Dietikon","161","1.96","0.06","16","15","1.96","0.06","1.89","1.89"
"Geroldswil","244","10","EDU","7","Wahlkreis VII, Dietikon","142","1.73","1.45","0","13","1.73","1.45","0.28","0.28"
"Glattfelden","58","1","SVP","17","Wahlkreis XVII, Bülach","5614","37.31","-6.75","95","312","37.31","-6.75","44.05","44.05"
"Glattfelden","58","2","SP","17","Wahlkreis XVII, Bülach","2666","17.72","2.69","0","148","17.72","2.69","15.03","15.03"
"Glattfelden","58","3","FDP","17","Wahlkreis XVII, Bülach","1475","9.8","-0.05","18","82","9.8","-0.05","9.85","9.85"
"Glattfelden","58","4","GLP","17","Wahlkreis XVII, Bülach","1635","10.87","1.45","8","91","10.87","1.45","9.41","9.41"
"Glattfelden","58","5","Grüne","17","Wahlkreis XVII, Bülach","1469","9.76","1.73","33","82","9.76","1.73","8.03","8.03"
"Glattfelden","58","6","CVP","17","Wahlkreis XVII, Bülach","281","1.87","-0.76","0","16","1.87","-0.76","2.63","2.63"
"Glattfelden","58","7","EVP","17","Wahlkreis XVII, Bülach","781","5.19","1.96","0","43","5.19","1.96","3.23","3.23"
"Glattfelden","58","8","AL","17","Wahlkreis XVII, Bülach","103","0.68","0","0","6","0.68","0","0.69","0.69"
"Glattfelden","58","9","BDP","17","Wahlkreis XVII, Bülach","458","3.04","-0.56","2","25","3.04","-0.56","3.6","3.6"
"Glattfelden","58","10","EDU","17","Wahlkreis XVII, Bülach","566","3.76","0.51","0","31","3.76","0.51","3.25","3.25"
"Gossau","115","1","SVP","11","Wahlkreis XI, Hinwil","8422","31.21","-6.38","103","766","31.21","-6.38","37.59","37.59"
"Gossau","115","2","SP","11","Wahlkreis XI, Hinwil","2913","10.8","-0.2","48","265","10.8","-0.2","11","11"
"Gossau","115","3","FDP","11","Wahlkreis XI, Hinwil","4983","18.47","0.44","174","453","18.47","0.44","18.02","18.02"
"Gossau","115","4","GLP","11","Wahlkreis XI, Hinwil","3042","11.27","5.11","26","277","11.27","5.11","6.17","6.17"
"Gossau","115","5","Grüne","11","Wahlkreis XI, Hinwil","2285","8.47","4.19","32","208","8.47","4.19","4.28","4.28"
"Gossau","115","6","CVP","11","Wahlkreis XI, Hinwil","1055","3.91","-0.61","19","96","3.91","-0.61","4.52","4.52"
"Gossau","115","7","EVP","11","Wahlkreis XI, Hinwil","2031","7.53","-0.81","19","185","7.53","-0.81","8.34","8.34"
"Gossau","115","8","AL","11","Wahlkreis XI, Hinwil","147","0.54","0.13","0","13","0.54","0.13","0.41","0.41"
"Gossau","115","9","BDP","11","Wahlkreis XI, Hinwil","749","2.78","-1.24","23","68","2.78","-1.24","4.02","4.02"
"Gossau","115","10","EDU","11","Wahlkreis XI, Hinwil","1356","5.03","-0.64","12","123","5.03","-0.64","5.66","5.66"
"Greifensee","194","1","SVP","12","Wahlkreis XII, Uster","4044","20.75","-3.18","45","253","20.75","-3.18","23.93","23.93"
"Greifensee","194","2","SP","12","Wahlkreis XII, Uster","3526","18.09","-2.12","68","220","18.09","-2.12","20.21","20.21"
"Greifensee","194","3","FDP","12","Wahlkreis XII, Uster","3221","16.53","-2.78","52","201","16.53","-2.78","19.3","19.3"
"Greifensee","194","4","GLP","12","Wahlkreis XII, Uster","3031","15.55","6.71","33","189","15.55","6.71","8.84","8.84"
"Greifensee","194","5","Grüne","12","Wahlkreis XII, Uster","2456","12.6","6.38","4","154","12.6","6.38","6.22","6.22"
"Greifensee","194","6","CVP","12","Wahlkreis XII, Uster","1169","6","-2.18","54","73","6","-2.18","8.18","8.18"
"Greifensee","194","7","EVP","12","Wahlkreis XII, Uster","667","3.42","1.09","14","42","3.42","1.09","2.33","2.33"
"Greifensee","194","8","AL","12","Wahlkreis XII, Uster","212","1.09","0.72","28","13","1.09","0.72","0.36","0.36"
"Greifensee","194","9","BDP","12","Wahlkreis XII, Uster","520","2.67","-2.25","4","33","2.67","-2.25","4.92","4.92"
"Greifensee","194","10","EDU","12","Wahlkreis XII, Uster","642","3.29","-1.22","0","40","3.29","-1.22","4.51","4.51"
"Grüningen","116","1","SVP","11","Wahlkreis XI, Hinwil","2870","31.59","-9.68","30","261","31.59","-9.68","41.27","41.27"
"Grüningen","116","2","SP","11","Wahlkreis XI, Hinwil","1095","12.05","0.56","24","100","12.05","0.56","11.49","11.49"
"Grüningen","116","3","FDP","11","Wahlkreis XI, Hinwil","1373","15.11","-0.62","25","125","15.11","-0.62","15.73","15.73"
"Grüningen","116","4","GLP","11","Wahlkreis XI, Hinwil","990","10.9","3.38","1","90","10.9","3.38","7.52","7.52"
"Grüningen","116","5","Grüne","11","Wahlkreis XI, Hinwil","1299","14.3","9","11","118","14.3","9","5.3","5.3"
"Grüningen","116","6","CVP","11","Wahlkreis XI, Hinwil","216","2.38","-0.01","3","20","2.38","-0.01","2.38","2.38"
"Grüningen","116","7","EVP","11","Wahlkreis XI, Hinwil","311","3.42","-0.54","4","28","3.42","-0.54","3.97","3.97"
"Grüningen","116","8","AL","11","Wahlkreis XI, Hinwil","80","0.88","-0.7","1","7","0.88","-0.7","1.58","1.58"
"Grüningen","116","9","BDP","11","Wahlkreis XI, Hinwil","346","3.81","-2.11","7","31","3.81","-2.11","5.92","5.92"
"Grüningen","116","10","EDU","11","Wahlkreis XI, Hinwil","506","5.57","0.73","1","46","5.57","0.73","4.84","4.84"
"Hagenbuch","220","1","SVP","15","Wahlkreis XV, Winterthur-Land","1067","58.63","-1.96","32","152","58.63","-1.96","60.59","60.59"
"Hagenbuch","220","2","SP","15","Wahlkreis XV, Winterthur-Land","280","15.38","4.79","12","40","15.38","4.79","10.59","10.59"
"Hagenbuch","220","3","FDP","15","Wahlkreis XV, Winterthur-Land","70","3.85","0.4","0","10","3.85","0.4","3.45","3.45"
"Hagenbuch","220","4","GLP","15","Wahlkreis XV, Winterthur-Land","150","8.24","0.61","0","21","8.24","0.61","7.64","7.64"
"Hagenbuch","220","5","Grüne","15","Wahlkreis XV, Winterthur-Land","107","5.88","3.05","0","15","5.88","3.05","2.83","2.83"
"Hagenbuch","220","6","CVP","15","Wahlkreis XV, Winterthur-Land","17","0.93","-0.05","0","2","0.93","-0.05","0.99","0.99"
"Hagenbuch","220","7","EVP","15","Wahlkreis XV, Winterthur-Land","64","3.52","-0.61","0","9","3.52","-0.61","4.13","4.13"
"Hagenbuch","220","8","AL","15","Wahlkreis XV, Winterthur-Land","9","0.49","-0.49","0","1","0.49","-0.49","0.99","0.99"
"Hagenbuch","220","9","BDP","15","Wahlkreis XV, Winterthur-Land","8","0.44","-5.04","0","1","0.44","-5.04","5.48","5.48"
"Hagenbuch","220","10","EDU","15","Wahlkreis XV, Winterthur-Land","48","2.64","0.24","0","7","2.64","0.24","2.4","2.4"
"Hausen am Albis","4","1","SVP","8","Wahlkreis VIII, Affoltern","1636","31.23","-3.93","19","273","31.23","-3.93","35.16","35.16"
"Hausen am Albis","4","2","SP","8","Wahlkreis VIII, Affoltern","1004","19.17","-0.81","9","167","19.17","-0.81","19.98","19.98"
"Hausen am Albis","4","3","FDP","8","Wahlkreis VIII, Affoltern","589","11.24","-3.46","6","98","11.24","-3.46","14.71","14.71"
"Hausen am Albis","4","4","GLP","8","Wahlkreis VIII, Affoltern","641","12.24","3.81","7","107","12.24","3.81","8.43","8.43"
"Hausen am Albis","4","5","Grüne","8","Wahlkreis VIII, Affoltern","742","14.17","4.67","2","124","14.17","4.67","9.49","9.49"
"Hausen am Albis","4","6","CVP","8","Wahlkreis VIII, Affoltern","85","1.62","-0.45","0","14","1.62","-0.45","2.07","2.07"
"Hausen am Albis","4","7","EVP","8","Wahlkreis VIII, Affoltern","353","6.74","-0.21","0","59","6.74","-0.21","6.94","6.94"
"Hausen am Albis","4","8","AL","8","Wahlkreis VIII, Affoltern","58","1.11","-0.02","0","10","1.11","-0.02","1.12","1.12"
"Hausen am Albis","4","9","BDP","8","Wahlkreis VIII, Affoltern","23","0.44","0.44","0","4","0.44","0.44","",""
"Hausen am Albis","4","10","EDU","8","Wahlkreis VIII, Affoltern","107","2.04","0.63","0","18","2.04","0.63","1.41","1.41"
"Hedingen","5","1","SVP","8","Wahlkreis VIII, Affoltern","1395","23.27","-7.75","24","233","23.27","-7.75","31.02","31.02"
"Hedingen","5","2","SP","8","Wahlkreis VIII, Affoltern","1071","17.87","-3.36","7","179","17.87","-3.36","21.22","21.22"
"Hedingen","5","3","FDP","8","Wahlkreis VIII, Affoltern","986","16.45","-2.66","13","164","16.45","-2.66","19.11","19.11"
"Hedingen","5","4","GLP","8","Wahlkreis VIII, Affoltern","953","15.9","7.97","16","159","15.9","7.97","7.93","7.93"
"Hedingen","5","5","Grüne","8","Wahlkreis VIII, Affoltern","811","13.53","5.19","2","135","13.53","5.19","8.34","8.34"
"Hedingen","5","6","CVP","8","Wahlkreis VIII, Affoltern","125","2.09","-0.73","7","21","2.09","-0.73","2.82","2.82"
"Hedingen","5","7","EVP","8","Wahlkreis VIII, Affoltern","417","6.96","0.01","12","70","6.96","0.01","6.94","6.94"
"Hedingen","5","8","AL","8","Wahlkreis VIII, Affoltern","35","0.58","0.06","0","6","0.58","0.06","0.52","0.52"
"Hedingen","5","9","BDP","8","Wahlkreis VIII, Affoltern","36","0.6","0.6","0","6","0.6","0.6","",""
"Hedingen","5","10","EDU","8","Wahlkreis VIII, Affoltern","165","2.75","0.85","0","28","2.75","0.85","1.9","1.9"
"Henggart","31","1","SVP","16","Wahlkreis XVI, Andelfingen","777","31.74","-5.3","3","194","31.74","-5.3","37.04","37.04"
"Henggart","31","2","SP","16","Wahlkreis XVI, Andelfingen","298","12.17","-1.92","3","75","12.17","-1.92","14.09","14.09"
"Henggart","31","3","FDP","16","Wahlkreis XVI, Andelfingen","338","13.81","-0.11","4","85","13.81","-0.11","13.92","13.92"
"Henggart","31","4","GLP","16","Wahlkreis XVI, Andelfingen","302","12.34","1.84","3","76","12.34","1.84","10.49","10.49"
"Henggart","31","5","Grüne","16","Wahlkreis XVI, Andelfingen","245","10.01","4.03","5","61","10.01","4.03","5.98","5.98"
"Henggart","31","6","CVP","16","Wahlkreis XVI, Andelfingen","51","2.08","0.54","0","13","2.08","0.54","1.55","1.55"
"Henggart","31","7","EVP","16","Wahlkreis XVI, Andelfingen","252","10.29","5.11","7","63","10.29","5.11","5.18","5.18"
"Henggart","31","8","AL","16","Wahlkreis XVI, Andelfingen","14","0.57","0.2","0","4","0.57","0.2","0.38","0.38"
"Henggart","31","9","BDP","16","Wahlkreis XVI, Andelfingen","66","2.7","-3.66","7","17","2.7","-3.66","6.35","6.35"
"Henggart","31","10","EDU","16","Wahlkreis XVI, Andelfingen","105","4.29","-0.73","3","26","4.29","-0.73","5.02","5.02"
"Herrliberg","152","1","SVP","10","Wahlkreis X, Meilen","7502","35.46","-4.92","225","625","35.46","-4.92","40.38","40.38"
"Herrliberg","152","2","SP","10","Wahlkreis X, Meilen","1786","8.44","-0.41","10","149","8.44","-0.41","8.86","8.86"
"Herrliberg","152","3","FDP","10","Wahlkreis X, Meilen","6582","31.11","-1.46","84","549","31.11","-1.46","32.57","32.57"
"Herrliberg","152","4","GLP","10","Wahlkreis X, Meilen","2170","10.26","4.38","18","181","10.26","4.38","5.88","5.88"
"Herrliberg","152","5","Grüne","10","Wahlkreis X, Meilen","1539","7.27","3.17","8","128","7.27","3.17","4.1","4.1"
"Herrliberg","152","6","CVP","10","Wahlkreis X, Meilen","801","3.79","-0.38","19","67","3.79","-0.38","4.17","4.17"
"Herrliberg","152","7","EVP","10","Wahlkreis X, Meilen","228","1.08","-0.02","2","19","1.08","-0.02","1.09","1.09"
"Herrliberg","152","8","AL","10","Wahlkreis X, Meilen","310","1.47","0.39","2","26","1.47","0.39","1.07","1.07"
"Herrliberg","152","9","BDP","10","Wahlkreis X, Meilen","128","0.61","-0.74","1","11","0.61","-0.74","1.34","1.34"
"Herrliberg","152","10","EDU","10","Wahlkreis X, Meilen","110","0.52","-0.01","0","9","0.52","-0.01","0.53","0.53"
"Hettlingen","221","1","SVP","15","Wahlkreis XV, Winterthur-Land","2180","30.5","-3.05","115","311","30.5","-3.05","33.55","33.55"
"Hettlingen","221","2","SP","15","Wahlkreis XV, Winterthur-Land","615","8.61","-1.15","15","88","8.61","-1.15","9.76","9.76"
"Hettlingen","221","3","FDP","15","Wahlkreis XV, Winterthur-Land","1357","18.99","-1.33","29","194","18.99","-1.33","20.32","20.32"
"Hettlingen","221","4","GLP","15","Wahlkreis XV, Winterthur-Land","1350","18.89","3.09","35","193","18.89","3.09","15.8","15.8"
"Hettlingen","221","5","Grüne","15","Wahlkreis XV, Winterthur-Land","688","9.63","4.49","13","98","9.63","4.49","5.13","5.13"
"Hettlingen","221","6","CVP","15","Wahlkreis XV, Winterthur-Land","230","3.22","0.4","11","33","3.22","0.4","2.81","2.81"
"Hettlingen","221","7","EVP","15","Wahlkreis XV, Winterthur-Land","530","7.42","1.79","0","76","7.42","1.79","5.63","5.63"
"Hettlingen","221","8","AL","15","Wahlkreis XV, Winterthur-Land","25","0.35","-0.47","0","4","0.35","-0.47","0.82","0.82"
"Hettlingen","221","9","BDP","15","Wahlkreis XV, Winterthur-Land","71","0.99","-2.22","2","10","0.99","-2.22","3.22","3.22"
"Hettlingen","221","10","EDU","15","Wahlkreis XV, Winterthur-Land","101","1.41","-0.61","2","14","1.41","-0.61","2.03","2.03"
"Hinwil","117","1","SVP","11","Wahlkreis XI, Hinwil","9660","35.63","-6.49","168","878","35.63","-6.49","42.11","42.11"
"Hinwil","117","2","SP","11","Wahlkreis XI, Hinwil","3705","13.66","0.35","88","337","13.66","0.35","13.31","13.31"
"Hinwil","117","3","FDP","11","Wahlkreis XI, Hinwil","3363","12.4","-0.84","99","306","12.4","-0.84","13.24","13.24"
"Hinwil","117","4","GLP","11","Wahlkreis XI, Hinwil","2427","8.95","2.7","20","221","8.95","2.7","6.25","6.25"
"Hinwil","117","5","Grüne","11","Wahlkreis XI, Hinwil","3013","11.11","5.77","12","274","11.11","5.77","5.34","5.34"
"Hinwil","117","6","CVP","11","Wahlkreis XI, Hinwil","1505","5.55","0.59","48","137","5.55","0.59","4.96","4.96"
"Hinwil","117","7","EVP","11","Wahlkreis XI, Hinwil","1387","5.12","-0.23","18","126","5.12","-0.23","5.34","5.34"
"Hinwil","117","8","AL","11","Wahlkreis XI, Hinwil","316","1.17","0.22","0","29","1.17","0.22","0.95","0.95"
"Hinwil","117","9","BDP","11","Wahlkreis XI, Hinwil","446","1.64","-1.55","5","41","1.64","-1.55","3.2","3.2"
"Hinwil","117","10","EDU","11","Wahlkreis XI, Hinwil","1293","4.77","-0.52","7","118","4.77","-0.52","5.29","5.29"
"Hittnau","173","1","SVP","13","Wahlkreis XIII, Pfäffikon","1974","30.1","-6.48","18","282","30.1","-6.48","36.57","36.57"
"Hittnau","173","2","SP","13","Wahlkreis XIII, Pfäffikon","699","10.66","-3.54","7","100","10.66","-3.54","14.19","14.19"
"Hittnau","173","3","FDP","13","Wahlkreis XIII, Pfäffikon","771","11.75","1.02","1","110","11.75","1.02","10.73","10.73"
