"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Affoltern am Albis","2","6","CVP","8","Wahlkreis VIII, Affoltern","466","3.52","-1.13","17","78","3.52","-1.13","4.65","4.65"
"Affoltern am Albis","2","7","EVP","8","Wahlkreis VIII, Affoltern","2029","15.31","0.2","43","338","15.31","0.2","15.11","15.11"
"Affoltern am Albis","2","8","AL","8","Wahlkreis VIII, Affoltern","88","0.66","-0.2","0","15","0.66","-0.2","0.86","0.86"
"Affoltern am Albis","2","9","BDP","8","Wahlkreis VIII, Affoltern","108","0.81","0.81","4","18","0.81","0.81","",""
"Affoltern am Albis","2","10","EDU","8","Wahlkreis VIII, Affoltern","208","1.57","-0.32","8","35","1.57","-0.32","1.89","1.89"
"Altikon","211","1","SVP","15","Wahlkreis XV, Winterthur-Land","761","54.91","-0.24","9","109","54.91","-0.24","55.14","55.14"
"Altikon","211","2","SP","15","Wahlkreis XV, Winterthur-Land","153","11.04","1.86","3","22","11.04","1.86","9.18","9.18"
"Altikon","211","3","FDP","15","Wahlkreis XV, Winterthur-Land","90","6.49","0.65","0","13","6.49","0.65","5.85","5.85"
"Altikon","211","4","GLP","15","Wahlkreis XV, Winterthur-Land","111","8.01","5.27","0","16","8.01","5.27","2.74","2.74"
"Altikon","211","5","Grüne","15","Wahlkreis XV, Winterthur-Land","102","7.36","1.81","0","15","7.36","1.81","5.55","5.55"
"Altikon","211","6","CVP","15","Wahlkreis XV, Winterthur-Land","38","2.74","-0.22","0","5","2.74","-0.22","2.96","2.96"
"Altikon","211","7","EVP","15","Wahlkreis XV, Winterthur-Land","57","4.11","3.15","2","8","4.11","3.15","0.96","0.96"
"Altikon","211","8","AL","15","Wahlkreis XV, Winterthur-Land","4","0.29","-0.97","0","1","0.29","-0.97","1.26","1.26"
"Altikon","211","9","BDP","15","Wahlkreis XV, Winterthur-Land","21","1.52","-11.88","0","3","1.52","-11.88","13.4","13.4"
"Altikon","211","10","EDU","15","Wahlkreis XV, Winterthur-Land","49","3.54","0.72","0","7","3.54","0.72","2.81","2.81"
"Andelfingen","30","1","SVP","16","Wahlkreis XVI, Andelfingen","801","28.44","-3.84","7","200","28.44","-3.84","32.29","32.29"
