GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
848800P;Turbenthal, Politische Gemeinde;BFS-Nr. / SGEM;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228
870700PS;Uetikon am See, Politische Gemeinde;BFS-Nr. / SGEM;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;159;;;;;;;;;;;;;
814200P;Uitikon, Politische Gemeinde;BFS-Nr. / SGEM;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248;248
810300PP;Unterengstringen, Politische Gemeinde;BFS-Nr. / SGEM;249;249;249;249;249;249;249;;;;;;;;;;;;;;;;;;;;;;;;;;;;
890200P;Urdorf, Politische Gemeinde;BFS-Nr. / SGEM;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250
861000PP;Uster, Stadt;BFS-Nr. / SGEM;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198;198
845900P;Volken, Politische Gemeinde;BFS-Nr. / SGEM;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43
860400P;Volketswil, Politische Gemeinde;BFS-Nr. / SGEM;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199;199
882001PP;Wädenswil, Stadt;BFS-Nr. / SGEM;293;293;293;293;293;293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863600PS;Wald, Politische Gemeinde;BFS-Nr. / SGEM;120;120;120;120;120;120;120;120;120;120;120;120;120;120;;;;;;;;;;;;;;;;;;;;;
830400P;Wallisellen, Politische Gemeinde;BFS-Nr. / SGEM;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69
830600PS;Wangen-Brüttisellen, Politische Gemeinde;BFS-Nr. / SGEM;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;;;;;;;;;;;;;;;;;
819500P;Wasterkingen, Politische Gemeinde;BFS-Nr. / SGEM;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70
818700P;Weiach, Politische Gemeinde;BFS-Nr. / SGEM;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102;102
810400PP;Weiningen, Politische Gemeinde;BFS-Nr. / SGEM;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;251;;;;;;;;;;;;;;;;;
848400PS;Weisslingen, Politische Gemeinde;BFS-Nr. / SGEM;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;180;;;;;;;;;;;;;;;;;
890700P;Wettswil a.A., Politische Gemeinde;BFS-Nr. / SGEM;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
862000PS;Wetzikon, Stadt;BFS-Nr. / SGEM;121;121;121;121;121;121;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854201P;Wiesendangen, Politische Gemeinde;BFS-Nr. / SGEM;298;298;298;298;298;298;298;298;298;298;298;;;;;;;;;;;;;;;;;;;;;;;;
819600P;Wil , Politische Gemeinde;BFS-Nr. / SGEM;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71;71
849200P;Wila, Politische Gemeinde;BFS-Nr. / SGEM;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181;181
848900PP;Wildberg, Politische Gemeinde;BFS-Nr. / SGEM;182;182;182;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
848900P;Wildberg, Politische Gemeinde (bis 2020);BFS-Nr. / SGEM;;;;;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182;182
818500P;Winkel, Politische Gemeinde;BFS-Nr. / SGEM;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72;72
840000PS;Winterthur, Stadt;BFS-Nr. / SGEM;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230;230
848702PS;Zell, Politische Gemeinde;BFS-Nr. / SGEM;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;231;;;;;;;;;;;;;
870200PS;Zollikon, Politische Gemeinde;BFS-Nr. / SGEM;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161;161
812600PS;Zumikon, Politische Gemeinde;BFS-Nr. / SGEM;160;160;160;160;160;160;160;160;160;160;;;;;;;;;;;;;;;;;;;;;;;;;
800000PS;Zürich, Stadt;BFS-Nr. / SGEM;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261;261
