GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
847400PP;Dinhard, Politische Gemeinde;BFS-Nr. / SGEM;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;;;;;;;;;;;;;;;;
845800P;Dorf, Politische Gemeinde;BFS-Nr. / SGEM;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26
860000PP;Dübendorf, Stadt;BFS-Nr. / SGEM;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191;191
863500PS;Dürnten, Politische Gemeinde;BFS-Nr. / SGEM;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;113;;;;;;;;;;;;
813200PS;Egg, Politische Gemeinde;BFS-Nr. / SGEM;192;192;192;192;192;192;192;192;192;;;;;;;;;;;;;;;;;;;;;;;;;;
819300P;Eglisau, Politische Gemeinde;BFS-Nr. / SGEM;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55;55
835301P;Elgg, Politische Gemeinde;BFS-Nr. / SGEM;294;294;294;294;294;294;294;;;;;;;;;;;;;;;;;;;;;;;;;;;;
854800P;Ellikon a.d.Th., Politische Gemeinde;BFS-Nr. / SGEM;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218;218
835200P;Elsau, Politische Gemeinde;BFS-Nr. / SGEM;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219;219
842400PP;Embrach, Politische Gemeinde;BFS-Nr. / SGEM;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56
870300PS;Erlenbach, Politische Gemeinde;BFS-Nr. / SGEM;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151;151
811700P;Fällanden, Politische Gemeinde;BFS-Nr. / SGEM;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193
832000PS;Fehraltorf, Politische Gemeinde;BFS-Nr. / SGEM;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;172;;;;;;;;;;;;;;;;;
824500PS;Feuerthalen, Politische Gemeinde;BFS-Nr. / SGEM;27;27;27;27;27;27;27;27;27;;;;;;;;;;;;;;;;;;;;;;;;;;
849700PS;Fischenthal, Politische Gemeinde;BFS-Nr. / SGEM;114;114;114;114;114;114;114;114;114;114;114;;;;;;;;;;;;;;;;;;;;;;;;
841600P;Flaach, Politische Gemeinde;BFS-Nr. / SGEM;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28
824700P;Flurlingen, Politische Gemeinde;BFS-Nr. / SGEM;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29
842701P;Freienstein-Teufen, Politische Gemeinde;BFS-Nr. / SGEM;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57
895400P;Geroldswil, Politische Gemeinde;BFS-Nr. / SGEM;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244;244
819200PS;Glattfelden, Politische Gemeinde;BFS-Nr. / SGEM;58;58;58;58;58;58;58;58;58;58;;;;;;;;;;;;;;;;;;;;;;;;;
862500PS;Gossau, Politische Gemeinde;BFS-Nr. / SGEM;115;115;115;115;115;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
860600PP;Greifensee, Politische Gemeinde;BFS-Nr. / SGEM;194;194;194;194;194;194;194;194;194;194;194;194;194;194;;;;;;;;;;;;;;;;;;;;;
862700P;Grüningen, Politische Gemeinde;BFS-Nr. / SGEM;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116;116
852300PP;Hagenbuch, Politische Gemeinde;BFS-Nr. / SGEM;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;220;;;;;;;;;;;;;
891500PP;Hausen a.A., Politische Gemeinde;BFS-Nr. / SGEM;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;;;;;;;
890800PS;Hedingen, Politische Gemeinde;BFS-Nr. / SGEM;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;;;;;;
844400PP;Henggart, Politische Gemeinde;BFS-Nr. / SGEM;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;;;;;;;;;;;;;;;;;
870400PS;Herrliberg, Politische Gemeinde;BFS-Nr. / SGEM;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;152;;;;;;;;;;;;;;;;;
