BFS;BEZ;REG;Aggl;Staedte;ObWin;HR;BFS;Gemeinden;Bev2020
197;10;6;261;0;60;2;197;Schwerzenbach;5183
198;10;8;261;1;82;2;198;Uster;35295
199;10;6;261;1;60;2;199;Volketswil;18851
200;10;6;261;0;60;1;200;Wangen-Brüttisellen;7990
211;11;9;0;0;92;4;211;Altikon;702
213;11;9;261;0;92;4;213;Brütten;2063
214;11;9;0;0;92;4;214;Dägerlen;1038
215;11;9;261;0;92;5;215;Dättlikon;799
216;11;9;0;0;92;4;216;Dinhard;1740
218;11;9;0;0;92;4;218;Ellikon a.d.Th.;935
219;11;9;230;0;92;1;219;Elsau;3654
220;11;9;0;0;92;4;220;Hagenbuch;1095
221;11;9;0;0;92;3;221;Hettlingen;3099
223;11;9;230;0;92;3;223;Neftenbach;5753
224;11;9;261;0;92;3;224;Pfungen;3945
225;11;9;230;0;92;3;225;Rickenbach;2799
226;11;9;230;0;92;4;226;Schlatt;778
227;11;9;230;0;92;2;227;Seuzach;7422
228;11;9;0;0;92;3;228;Turbenthal;4989
230;11;9;230;1;91;1;230;Winterthur;114087
231;11;9;0;0;92;3;231;Zell;6422
241;5;2;261;0;20;3;241;Aesch;1707
242;5;2;261;0;20;3;242;Birmensdorf;6893
243;5;2;261;1;20;1;243;Dietikon;28028
244;5;2;261;0;20;2;244;Geroldswil;5046
245;5;2;261;0;20;1;245;Oberengstringen;6724
246;5;2;261;0;20;2;246;Oetwil a.d.L.;2529
247;5;2;261;1;20;1;247;Schlieren;19872
248;5;2;261;0;20;3;248;Uitikon;4799
249;5;2;261;0;20;1;249;Unterengstringen;3982
250;5;2;261;1;20;1;250;Urdorf;10009
251;5;2;261;0;20;1;251;Weiningen;4857
261;12;1;261;1;10;1;261;Zürich;420891
292;2;10;0;0;100;4;292;Stammheim;2858
293;7;4;261;1;40;2;293;Wädenswil;24808
294;11;9;230;0;92;3;294;Elgg;4951
295;7;4;261;1;40;2;295;Horgen;23073
296;9;9;261;1;92;2;296;Illnau-Effretikon;17345
297;9;8;0;0;81;4;297;Bauma;4879
